feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId
1,inst-1-574469501,model,0,0,3.22,0,0,12.0461,0,325196,yes,../wrapper.py 1 1 574469501 tuning -n_templates_middle 8 -n_templates_delta 16 -n_slots_middle 10 -n_slots_delta 23 -n_variations_middle 45 -n_variations_delta 23 -demand_range_middle 36 -demand_range_delta 9,4e39805dbad247c84386f05b04369a84,sat + graded,1,574469501,1,1
1,inst-1-574469501,model,1,0,1.062,0,0,7.94853,0,230608,yes,../wrapper.py 1 1 574469501 tuning -n_templates_middle 8 -n_templates_delta 16 -n_slots_middle 10 -n_slots_delta 23 -n_variations_middle 45 -n_variations_delta 23 -demand_range_middle 36 -demand_range_delta 9,4e39805dbad247c84386f05b04369a84,sat + too easy,1,574469501,1,1
1,inst-2-1681160445,model,0,0,11.289,0,0,65.4771,0,1177617,yes,../wrapper.py 2 1 1681160445 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,282bafe82b53fc263949d3c291c84242,sat + graded,2,1681160445,1,2
1,inst-2-1681160445,model,1,0,10.96,0,0,55.5114,0,1030001,yes,../wrapper.py 2 1 1681160445 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,282bafe82b53fc263949d3c291c84242,sat + graded,2,1681160445,1,2
1,inst-2-1681160445,model,2,0,9.284,0,0,52.2103,0,1033411,yes,../wrapper.py 2 1 1681160445 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,282bafe82b53fc263949d3c291c84242,sat + graded,2,1681160445,1,2
1,inst-2-1681160445,model,3,0,8.437,0,0,47.5574,0,906788,yes,../wrapper.py 2 1 1681160445 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,282bafe82b53fc263949d3c291c84242,sat + graded,2,1681160445,1,2
1,inst-2-1681160445,model,4,0,9.894,0,0,60.4317,0,1135792,yes,../wrapper.py 2 1 1681160445 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,282bafe82b53fc263949d3c291c84242,sat + graded,2,1681160445,1,2
1,inst-2-574469501,model,0,0,4.43,0,0,41.1584,0,923385,yes,../wrapper.py 2 1 574469501 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,5b5544811ad3587417a4084d6a37f94e,sat + graded,2,574469501,1,2
1,inst-2-574469501,model,1,0,1.666,0,0,33.7025,0,798937,yes,../wrapper.py 2 1 574469501 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,5b5544811ad3587417a4084d6a37f94e,sat + graded,2,574469501,1,2
1,inst-2-574469501,model,2,0,1.711,0,0,32.3682,0,806239,yes,../wrapper.py 2 1 574469501 tuning -n_templates_middle 40 -n_templates_delta 0 -n_slots_middle 48 -n_slots_delta 24 -n_variations_middle 18 -n_variations_delta 18 -demand_range_middle 40 -demand_range_delta 18,5b5544811ad3587417a4084d6a37f94e,sat + graded,2,574469501,1,2
