"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
1,"inst-1-123","model",0,0,6.4,0,0,2.5135,0,88249,"yes","../wrapper.py 1 1 123 random -n_templates_middle 15 -n_templates_delta 19 -n_slots_middle 21 -n_slots_delta 22 -n_variations_middle 48 -n_variations_delta 1 -demand_range_middle 26 -demand_range_delta 23","15323200b6ec372ae602fefe36bc6d63","sat + too easy",1,123,1
1,"inst-2-123","model",0,0,8.812,0,0,17.7772,0,339760,"yes","../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23","b28bab5ff9ddda1cc86dc712a8a700e4","sat + graded",2,123,2
1,"inst-2-123","model",1,0,6.702,0,0,16.0073,0,274306,"yes","../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23","b28bab5ff9ddda1cc86dc712a8a700e4","sat + graded",2,123,2
1,"inst-2-123","model",2,0,9.514,0,0,16.4783,0,265673,"yes","../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23","b28bab5ff9ddda1cc86dc712a8a700e4","sat + graded",2,123,2
1,"inst-2-123","model",3,0,9.492,0,0,12.8164,0,215590,"yes","../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23","b28bab5ff9ddda1cc86dc712a8a700e4","sat + graded",2,123,2
1,"inst-2-123","model",4,0,9.603,0,0,20.1086,0,330157,"yes","../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23","b28bab5ff9ddda1cc86dc712a8a700e4","sat + graded",2,123,2
1,"inst-3-123","model",0,0,7.659,0,0,6.14106,0,186703,"yes","../wrapper.py 3 3 123 random -n_templates_middle 13 -n_templates_delta 1 -n_slots_middle 17 -n_slots_delta 23 -n_variations_middle 45 -n_variations_delta 17 -demand_range_middle 32 -demand_range_delta 25","61e3923e66b216f588572ecad8709130","sat + too easy",3,123,3
1,"inst-4-123","model",0,0,5.907,0,0,11.1079,0,384565,"yes","../wrapper.py 4 4 123 random -n_templates_middle 33 -n_templates_delta 17 -n_slots_middle 28 -n_slots_delta 14 -n_variations_middle 15 -n_variations_delta 3 -demand_range_middle 49 -demand_range_delta 23","906363b71bd4aa1d47780212207cec17","sat + graded",4,123,4
1,"inst-4-123","model",1,0,6.911,0,0,10.1371,0,309327,"yes","../wrapper.py 4 4 123 random -n_templates_middle 33 -n_templates_delta 17 -n_slots_middle 28 -n_slots_delta 14 -n_variations_middle 15 -n_variations_delta 3 -demand_range_middle 49 -demand_range_delta 23","906363b71bd4aa1d47780212207cec17","sat + graded",4,123,4
1,"inst-4-123","model",2,0,6.386,0,0,9.52828,0,299618,"yes","../wrapper.py 4 4 123 random -n_templates_middle 33 -n_templates_delta 17 -n_slots_middle 28 -n_slots_delta 14 -n_variations_middle 15 -n_variations_delta 3 -demand_range_middle 49 -demand_range_delta 23","906363b71bd4aa1d47780212207cec17","sat + too easy",4,123,4
1,"inst-5-123","model",0,0,7.628,0,0,19.661,0,344253,"yes","../wrapper.py 5 5 123 random -n_templates_middle 35 -n_templates_delta 19 -n_slots_middle 2 -n_slots_delta 11 -n_variations_middle 38 -n_variations_delta 5 -demand_range_middle 16 -demand_range_delta 6","ec180d669f795b986c2f8047bf39891e","sat + graded",5,123,5
1,"inst-5-123","model",1,0,7.226,0,0,17.5142,0,287943,"yes","../wrapper.py 5 5 123 random -n_templates_middle 35 -n_templates_delta 19 -n_slots_middle 2 -n_slots_delta 11 -n_variations_middle 38 -n_variations_delta 5 -demand_range_middle 16 -demand_range_delta 6","ec180d669f795b986c2f8047bf39891e","sat + graded",5,123,5
1,"inst-5-123","model",2,0,7.761,0,0,17.3744,0,268427,"yes","../wrapper.py 5 5 123 random -n_templates_middle 35 -n_templates_delta 19 -n_slots_middle 2 -n_slots_delta 11 -n_variations_middle 38 -n_variations_delta 5 -demand_range_middle 16 -demand_range_delta 6","ec180d669f795b986c2f8047bf39891e","sat + graded",5,123,5
1,"inst-5-123","model",3,0,7.804,0,0,14.877,0,218639,"yes","../wrapper.py 5 5 123 random -n_templates_middle 35 -n_templates_delta 19 -n_slots_middle 2 -n_slots_delta 11 -n_variations_middle 38 -n_variations_delta 5 -demand_range_middle 16 -demand_range_delta 6","ec180d669f795b986c2f8047bf39891e","sat + graded",5,123,5
1,"inst-5-123","model",4,0,8.073,0,0,20.7283,0,330162,"yes","../wrapper.py 5 5 123 random -n_templates_middle 35 -n_templates_delta 19 -n_slots_middle 2 -n_slots_delta 11 -n_variations_middle 38 -n_variations_delta 5 -demand_range_middle 16 -demand_range_delta 6","ec180d669f795b986c2f8047bf39891e","sat + graded",5,123,5
1,"inst-6-123","model",0,0,2.292,0,0,0.144883,0,13979,"yes","../wrapper.py 6 6 123 random -n_templates_middle 8 -n_templates_delta 10 -n_slots_middle 21 -n_slots_delta 9 -n_variations_middle 8 -n_variations_delta 3 -demand_range_middle 11 -demand_range_delta 12","63c740df5aa6e8770411af80b7794be5","sat + too easy",6,123,6
1,"inst-7-123","model",0,0,5.562,0,0,2.78703,0,98137,"yes","../wrapper.py 7 7 123 random -n_templates_middle 14 -n_templates_delta 21 -n_slots_middle 3 -n_slots_delta 11 -n_variations_middle 40 -n_variations_delta 3 -demand_range_middle 28 -demand_range_delta 5","11739e9c98f81dc3e353693bda1b2a07","sat + too easy",7,123,7
1,"inst-8-123","model",0,0,4.524,0,0,0.929328,0,40622,"yes","../wrapper.py 8 8 123 random -n_templates_middle 7 -n_templates_delta 18 -n_slots_middle 45 -n_slots_delta 9 -n_variations_middle 34 -n_variations_delta 2 -demand_range_middle 19 -demand_range_delta 7","f1351bad86497c700362b847b711548d","sat + too easy",8,123,8
1,"inst-9-123","model",0,0,15.724,0,0,170.812,0,1697886,"yes","../wrapper.py 9 9 123 random -n_templates_middle 41 -n_templates_delta 11 -n_slots_middle 41 -n_slots_delta 20 -n_variations_middle 40 -n_variations_delta 10 -demand_range_middle 38 -demand_range_delta 16","3c8dec5a027c5af5904fb34b65dd7f9c","sat + graded",9,123,9
1,"inst-9-123","model",1,0,14.789,0,0,155.916,0,1505432,"yes","../wrapper.py 9 9 123 random -n_templates_middle 41 -n_templates_delta 11 -n_slots_middle 41 -n_slots_delta 20 -n_variations_middle 40 -n_variations_delta 10 -demand_range_middle 38 -demand_range_delta 16","3c8dec5a027c5af5904fb34b65dd7f9c","sat + graded",9,123,9
1,"inst-9-123","model",2,0,15.122,0,0,142.894,0,1464216,"yes","../wrapper.py 9 9 123 random -n_templates_middle 41 -n_templates_delta 11 -n_slots_middle 41 -n_slots_delta 20 -n_variations_middle 40 -n_variations_delta 10 -demand_range_middle 38 -demand_range_delta 16","3c8dec5a027c5af5904fb34b65dd7f9c","sat + graded",9,123,9
1,"inst-9-123","model",3,0,14.417,0,0,128.157,0,1270070,"yes","../wrapper.py 9 9 123 random -n_templates_middle 41 -n_templates_delta 11 -n_slots_middle 41 -n_slots_delta 20 -n_variations_middle 40 -n_variations_delta 10 -demand_range_middle 38 -demand_range_delta 16","3c8dec5a027c5af5904fb34b65dd7f9c","sat + graded",9,123,9
1,"inst-9-123","model",4,0,16.347,0,0,173.161,0,1642903,"yes","../wrapper.py 9 9 123 random -n_templates_middle 41 -n_templates_delta 11 -n_slots_middle 41 -n_slots_delta 20 -n_variations_middle 40 -n_variations_delta 10 -demand_range_middle 38 -demand_range_delta 16","3c8dec5a027c5af5904fb34b65dd7f9c","sat + graded",9,123,9
1,"inst-10-123","model",0,0,7.946,0,0,15.4523,0,318608,"yes","../wrapper.py 10 10 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 24 -n_slots_delta 5 -n_variations_middle 19 -n_variations_delta 15 -demand_range_middle 17 -demand_range_delta 2","0828daea67b7fecbaaa7f8a644ecf2f1","sat + graded",10,123,10
1,"inst-10-123","model",1,0,7.24,0,0,14.5012,0,278854,"yes","../wrapper.py 10 10 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 24 -n_slots_delta 5 -n_variations_middle 19 -n_variations_delta 15 -demand_range_middle 17 -demand_range_delta 2","0828daea67b7fecbaaa7f8a644ecf2f1","sat + graded",10,123,10
1,"inst-10-123","model",2,0,7.407,0,0,14.5483,0,267135,"yes","../wrapper.py 10 10 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 24 -n_slots_delta 5 -n_variations_middle 19 -n_variations_delta 15 -demand_range_middle 17 -demand_range_delta 2","0828daea67b7fecbaaa7f8a644ecf2f1","sat + graded",10,123,10
1,"inst-10-123","model",3,0,7.755,0,0,13.6867,0,233754,"yes","../wrapper.py 10 10 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 24 -n_slots_delta 5 -n_variations_middle 19 -n_variations_delta 15 -demand_range_middle 17 -demand_range_delta 2","0828daea67b7fecbaaa7f8a644ecf2f1","sat + graded",10,123,10
