feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-10-123,model,0,0,7.946,0,0,15.4523,0,318608,yes,../wrapper.py 10 10 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 24 -n_slots_delta 5 -n_variations_middle 19 -n_variations_delta 15 -demand_range_middle 17 -demand_range_delta 2,0828daea67b7fecbaaa7f8a644ecf2f1
1,inst-1000-123,model,0,0,11.377,0,0,82.1711,0,1370984,yes,../wrapper.py 1000 1000 123 random -n_templates_middle 45 -n_templates_delta 8 -n_slots_middle 45 -n_slots_delta 4 -n_variations_middle 13 -n_variations_delta 21 -demand_range_middle 44 -demand_range_delta 9,6ad1f1546c41f1381e90bee84c58c17e
1,inst-101-123,model,0,0,6.85,0,0,29.9197,0,462480,yes,../wrapper.py 101 101 123 random -n_templates_middle 24 -n_templates_delta 9 -n_slots_middle 7 -n_slots_delta 1 -n_variations_middle 14 -n_variations_delta 24 -demand_range_middle 24 -demand_range_delta 12,549ddd99876a38762c6d56143f76c056
1,inst-102-123,model,0,0,6.503,0,0,41.1927,0,542370,yes,../wrapper.py 102 102 123 random -n_templates_middle 38 -n_templates_delta 16 -n_slots_middle 3 -n_slots_delta 17 -n_variations_middle 19 -n_variations_delta 22 -demand_range_middle 39 -demand_range_delta 3,2b11969aec9a5d880cfff21972d91ce6
1,inst-103-123,model,0,0,6.853,0,0,10.244,0,241166,yes,../wrapper.py 103 103 123 random -n_templates_middle 15 -n_templates_delta 3 -n_slots_middle 30 -n_slots_delta 14 -n_variations_middle 35 -n_variations_delta 7 -demand_range_middle 30 -demand_range_delta 25,330b124d3f8baffd8de2376dfc916be9
1,inst-104-123,model,0,0,8.447,0,0,22.6792,0,399797,yes,../wrapper.py 104 104 123 random -n_templates_middle 38 -n_templates_delta 1 -n_slots_middle 23 -n_slots_delta 1 -n_variations_middle 17 -n_variations_delta 18 -demand_range_middle 0 -demand_range_delta 20,177537ffd3f005af53bc9bb3bc4c94b6
1,inst-106-123,model,0,0,13.07,0,0,125.541,0,1528872,yes,../wrapper.py 106 106 123 random -n_templates_middle 49 -n_templates_delta 18 -n_slots_middle 31 -n_slots_delta 2 -n_variations_middle 28 -n_variations_delta 6 -demand_range_middle 45 -demand_range_delta 0,79fffcc5df984fff7229b13fd058b9a0
1,inst-108-123,model,0,0,8.103,0,0,92.2308,0,1329614,yes,../wrapper.py 108 108 123 random -n_templates_middle 48 -n_templates_delta 3 -n_slots_middle 4 -n_slots_delta 22 -n_variations_middle 22 -n_variations_delta 1 -demand_range_middle 33 -demand_range_delta 12,bed7b026071abe83dea4a776918e4463
1,inst-110-123,model,0,0,8.045,0,0,25.175,0,641785,yes,../wrapper.py 110 110 123 random -n_templates_middle 39 -n_templates_delta 13 -n_slots_middle 44 -n_slots_delta 16 -n_variations_middle 1 -n_variations_delta 17 -demand_range_middle 45 -demand_range_delta 16,6f039677a2a1121b3088b2cf287f63f6
1,inst-112-123,model,0,0,7.408,0,0,10.7736,0,260009,yes,../wrapper.py 112 112 123 random -n_templates_middle 13 -n_templates_delta 5 -n_slots_middle 29 -n_slots_delta 18 -n_variations_middle 34 -n_variations_delta 13 -demand_range_middle 41 -demand_range_delta 19,ee8110093658dd54dbd7a4c6f54eae19
1,inst-115-123,model,0,0,9.464,0,0,52.0807,0,671376,yes,../wrapper.py 115 115 123 random -n_templates_middle 44 -n_templates_delta 14 -n_slots_middle 16 -n_slots_delta 23 -n_variations_middle 30 -n_variations_delta 13 -demand_range_middle 19 -demand_range_delta 8,aa62d0fc1b203a6888dc9b4c1e653568
1,inst-116-123,model,0,0,10.487,0,0,97.039,0,1036864,yes,../wrapper.py 116 116 123 random -n_templates_middle 41 -n_templates_delta 1 -n_slots_middle 19 -n_slots_delta 21 -n_variations_middle 35 -n_variations_delta 17 -demand_range_middle 17 -demand_range_delta 14,0815d696ff859a09a90cdf1e91446ae7
1,inst-118-123,model,0,0,10.646,0,0,26.7825,0,403859,yes,../wrapper.py 118 118 123 random -n_templates_middle 27 -n_templates_delta 21 -n_slots_middle 44 -n_slots_delta 0 -n_variations_middle 49 -n_variations_delta 12 -demand_range_middle 19 -demand_range_delta 10,5511febecb44075a4e1e47fc5cea8e23
1,inst-12-123,model,0,0,8.516,0,0,34.8183,0,590196,yes,../wrapper.py 12 12 123 random -n_templates_middle 45 -n_templates_delta 4 -n_slots_middle 7 -n_slots_delta 16 -n_variations_middle 18 -n_variations_delta 16 -demand_range_middle 16 -demand_range_delta 4,b447e4338155e8e91c695faa81a54eeb
1,inst-120-123,model,0,0,10.934,0,0,130.824,0,1350546,yes,../wrapper.py 120 120 123 random -n_templates_middle 48 -n_templates_delta 1 -n_slots_middle 19 -n_slots_delta 24 -n_variations_middle 33 -n_variations_delta 1 -demand_range_middle 20 -demand_range_delta 11,33c25d6e568dc594af4cd3e630f16ccc
1,inst-121-123,model,0,0,9.435,0,0,29.337,0,444217,yes,../wrapper.py 121 121 123 random -n_templates_middle 26 -n_templates_delta 11 -n_slots_middle 32 -n_slots_delta 3 -n_variations_middle 46 -n_variations_delta 14 -demand_range_middle 27 -demand_range_delta 3,7d677ee62bdd81d411d9a5b1832e879f
1,inst-122-123,model,0,0,12.414,0,0,102.482,0,981262,yes,../wrapper.py 122 122 123 random -n_templates_middle 39 -n_templates_delta 11 -n_slots_middle 40 -n_slots_delta 1 -n_variations_middle 41 -n_variations_delta 6 -demand_range_middle 14 -demand_range_delta 16,5f13ffe4ed534c546fff2dac0624bb40
