"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
0,"inst-1-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 1 1 1681160445 tuning -n_pieces_middle 8 -n_pieces_delta 16 -n_players_middle 10 -n_players_delta 23 -duration_range_middle 45 -duration_range_delta 23 -plays_in_cardMiddle 36 -plays_in_cardDelta 1 -plays_in_relation1_middle 40 -plays_in_relation1_delta 0 -plays_in_relation2_middle 48 -plays_in_relation2_delta 24","inst-1-1681160445","no instance",1,1681160445,1,1
1,"inst-2-1681160445","model",0,0,8.643,0,0,0.002406,0,0,"no","../wrapper.py 2 1 1681160445 tuning -n_pieces_middle 18 -n_pieces_delta 18 -n_players_middle 40 -n_players_delta 17 -duration_range_middle 24 -duration_range_delta 12 -plays_in_cardMiddle 15 -plays_in_cardDelta 2 -plays_in_relation1_middle 42 -plays_in_relation1_delta 10 -plays_in_relation2_middle 26 -plays_in_relation2_delta 16","c1f20fb47036e64924d0178201d55aea","unsat + too easy",2,1681160445,1,2
0,"inst-3-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 3 1 1681160445 tuning -n_pieces_middle 8 -n_pieces_delta 8 -n_players_middle 21 -n_players_delta 2 -duration_range_middle 47 -duration_range_delta 20 -plays_in_cardMiddle 44 -plays_in_cardDelta 3 -plays_in_relation1_middle 4 -plays_in_relation1_delta 9 -plays_in_relation2_middle 27 -plays_in_relation2_delta 2","inst-3-1681160445","no instance",3,1681160445,1,3
0,"inst-4-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 4 1 1681160445 tuning -n_pieces_middle 41 -n_pieces_delta 18 -n_players_middle 3 -n_players_delta 12 -duration_range_middle 47 -duration_range_delta 1 -plays_in_cardMiddle 14 -plays_in_cardDelta 2 -plays_in_relation1_middle 31 -plays_in_relation1_delta 6 -plays_in_relation2_middle 22 -plays_in_relation2_delta 9","inst-4-1681160445","no instance",4,1681160445,1,4
1,"inst-5-1681160445","model",0,0,8.483,0,0,0.004871,0,0,"no","../wrapper.py 5 1 1681160445 tuning -n_pieces_middle 48 -n_pieces_delta 3 -n_players_middle 4 -n_players_delta 24 -duration_range_middle 23 -duration_range_delta 9 -plays_in_cardMiddle 7 -plays_in_cardDelta 0 -plays_in_relation1_middle 33 -plays_in_relation1_delta 14 -plays_in_relation2_middle 50 -plays_in_relation2_delta 15","3be58ecc10c6b3cac55a410f95cb9865","unsat + too easy",5,1681160445,1,5
0,"inst-6-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 1 1681160445 tuning -n_pieces_middle 4 -n_pieces_delta 4 -n_players_middle 24 -n_players_delta 0 -duration_range_middle 23 -duration_range_delta 6 -plays_in_cardMiddle 47 -plays_in_cardDelta 2 -plays_in_relation1_middle 9 -plays_in_relation1_delta 11 -plays_in_relation2_middle 35 -plays_in_relation2_delta 11","inst-6-1681160445","no instance",6,1681160445,1,6
1,"inst-7-1681160445","model",0,0,8.338,0,0,0.002293,0,0,"no","../wrapper.py 7 1 1681160445 tuning -n_pieces_middle 48 -n_pieces_delta 17 -n_players_middle 20 -n_players_delta 2 -duration_range_middle 13 -duration_range_delta 21 -plays_in_cardMiddle 22 -plays_in_cardDelta 1 -plays_in_relation1_middle 35 -plays_in_relation1_delta 19 -plays_in_relation2_middle 8 -plays_in_relation2_delta 21","835a606cbb7e06ec634deb3842275cb8","unsat + too easy",7,1681160445,1,7
0,"inst-8-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 1 1681160445 tuning -n_pieces_middle 48 -n_pieces_delta 14 -n_players_middle 26 -n_players_delta 4 -duration_range_middle 1 -duration_range_delta 21 -plays_in_cardMiddle 6 -plays_in_cardDelta 0 -plays_in_relation1_middle 47 -plays_in_relation1_delta 7 -plays_in_relation2_middle 9 -plays_in_relation2_delta 9","inst-8-1681160445","no instance",8,1681160445,1,8
0,"inst-9-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 9 1 1681160445 tuning -n_pieces_middle 23 -n_pieces_delta 10 -n_players_middle 26 -n_players_delta 21 -duration_range_middle 3 -duration_range_delta 13 -plays_in_cardMiddle 35 -plays_in_cardDelta 2 -plays_in_relation1_middle 34 -plays_in_relation1_delta 11 -plays_in_relation2_middle 49 -plays_in_relation2_delta 10","inst-9-1681160445","no instance",9,1681160445,1,9
1,"inst-10-1681160445","model",0,0,11.487,0,0,0.007061,0,0,"no","../wrapper.py 10 1 1681160445 tuning -n_pieces_middle 43 -n_pieces_delta 18 -n_players_middle 27 -n_players_delta 21 -duration_range_middle 24 -duration_range_delta 0 -plays_in_cardMiddle 37 -plays_in_cardDelta 2 -plays_in_relation1_middle 10 -plays_in_relation1_delta 16 -plays_in_relation2_middle 28 -plays_in_relation2_delta 8","34fe220ddb4047c56293803e20974b50","unsat + too easy",10,1681160445,1,10
1,"inst-11-1681160445","model",0,0,10.16,0,0,0.008139,0,0,"no","../wrapper.py 11 1 1681160445 tuning -n_pieces_middle 32 -n_pieces_delta 20 -n_players_middle 36 -n_players_delta 8 -duration_range_middle 7 -duration_range_delta 9 -plays_in_cardMiddle 47 -plays_in_cardDelta 3 -plays_in_relation1_middle 38 -plays_in_relation1_delta 23 -plays_in_relation2_middle 50 -plays_in_relation2_delta 15","2918ea9fa8ded2263a7ba2abd04ae364","unsat + too easy",11,1681160445,1,11
0,"inst-12-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 12 1 1681160445 tuning -n_pieces_middle 2 -n_pieces_delta 8 -n_players_middle 14 -n_players_delta 2 -duration_range_middle 3 -duration_range_delta 9 -plays_in_cardMiddle 17 -plays_in_cardDelta 0 -plays_in_relation1_middle 32 -plays_in_relation1_delta 9 -plays_in_relation2_middle 48 -plays_in_relation2_delta 16","inst-12-1681160445","no instance",12,1681160445,1,12
0,"inst-13-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 13 1 1681160445 tuning -n_pieces_middle 17 -n_pieces_delta 4 -n_players_middle 6 -n_players_delta 24 -duration_range_middle 19 -duration_range_delta 14 -plays_in_cardMiddle 37 -plays_in_cardDelta 3 -plays_in_relation1_middle 29 -plays_in_relation1_delta 0 -plays_in_relation2_middle 46 -plays_in_relation2_delta 19","inst-13-1681160445","no instance",13,1681160445,1,13
0,"inst-14-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 14 1 1681160445 tuning -n_pieces_middle 20 -n_pieces_delta 2 -n_players_middle 3 -n_players_delta 20 -duration_range_middle 42 -duration_range_delta 16 -plays_in_cardMiddle 6 -plays_in_cardDelta 1 -plays_in_relation1_middle 37 -plays_in_relation1_delta 22 -plays_in_relation2_middle 35 -plays_in_relation2_delta 6","inst-14-1681160445","no instance",14,1681160445,1,14
1,"inst-15-1681160445","model",0,0,9.255,0,0,0.004774,0,0,"no","../wrapper.py 15 1 1681160445 tuning -n_pieces_middle 33 -n_pieces_delta 7 -n_players_middle 48 -n_players_delta 3 -duration_range_middle 21 -duration_range_delta 6 -plays_in_cardMiddle 4 -plays_in_cardDelta 3 -plays_in_relation1_middle 27 -plays_in_relation1_delta 16 -plays_in_relation2_middle 21 -plays_in_relation2_delta 21","2ed2893ecf2271a39682e2dd76b98be4","unsat + too easy",15,1681160445,1,15
1,"inst-16-1681160445","model",0,0,10.302,0,0,0.011196,0,0,"no","../wrapper.py 16 1 1681160445 tuning -n_pieces_middle 37 -n_pieces_delta 8 -n_players_middle 48 -n_players_delta 16 -duration_range_middle 2 -duration_range_delta 14 -plays_in_cardMiddle 21 -plays_in_cardDelta 0 -plays_in_relation1_middle 27 -plays_in_relation1_delta 24 -plays_in_relation2_middle 36 -plays_in_relation2_delta 13","e7823005b5ef4b1e9ea419650e9ea18d","unsat + too easy",16,1681160445,1,16
0,"inst-17-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 17 1 1681160445 tuning -n_pieces_middle 13 -n_pieces_delta 19 -n_players_middle 33 -n_players_delta 20 -duration_range_middle 33 -duration_range_delta 11 -plays_in_cardMiddle 25 -plays_in_cardDelta 1 -plays_in_relation1_middle 23 -plays_in_relation1_delta 20 -plays_in_relation2_middle 47 -plays_in_relation2_delta 3","inst-17-1681160445","no instance",17,1681160445,1,17
1,"inst-18-1681160445","model",0,0,10.365,0,0,0.003623,0,0,"no","../wrapper.py 18 1 1681160445 tuning -n_pieces_middle 38 -n_pieces_delta 24 -n_players_middle 49 -n_players_delta 8 -duration_range_middle 20 -duration_range_delta 23 -plays_in_cardMiddle 5 -plays_in_cardDelta 3 -plays_in_relation1_middle 18 -plays_in_relation1_delta 13 -plays_in_relation2_middle 27 -plays_in_relation2_delta 17","5a3449613799b50cc5feedff5d5bdce8","unsat + too easy",18,1681160445,1,18
0,"inst-19-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 19 1 1681160445 tuning -n_pieces_middle 21 -n_pieces_delta 3 -n_players_middle 18 -n_players_delta 15 -duration_range_middle 3 -duration_range_delta 21 -plays_in_cardMiddle 10 -plays_in_cardDelta 3 -plays_in_relation1_middle 7 -plays_in_relation1_delta 8 -plays_in_relation2_middle 32 -plays_in_relation2_delta 6","inst-19-1681160445","no instance",19,1681160445,1,19
1,"inst-20-1681160445","model",0,0,9.099,0,0,0.00602,0,0,"no","../wrapper.py 20 1 1681160445 tuning -n_pieces_middle 32 -n_pieces_delta 12 -n_players_middle 47 -n_players_delta 21 -duration_range_middle 19 -duration_range_delta 7 -plays_in_cardMiddle 42 -plays_in_cardDelta 1 -plays_in_relation1_middle 16 -plays_in_relation1_delta 2 -plays_in_relation2_middle 4 -plays_in_relation2_delta 17","b9560ce955f66b28c39dd4c42a05eb7c","unsat + too easy",20,1681160445,1,20
1,"inst-21-1681160445","model",0,0,10.654,0,0,0.006724,0,0,"no","../wrapper.py 21 1 1681160445 tuning -n_pieces_middle 34 -n_pieces_delta 22 -n_players_middle 16 -n_players_delta 23 -duration_range_middle 11 -duration_range_delta 19 -plays_in_cardMiddle 11 -plays_in_cardDelta 0 -plays_in_relation1_middle 44 -plays_in_relation1_delta 17 -plays_in_relation2_middle 48 -plays_in_relation2_delta 16","5815822764854ec0a5e2770721f6c72f","unsat + too easy",21,1681160445,1,21
0,"inst-22-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 22 1 1681160445 tuning -n_pieces_middle 43 -n_pieces_delta 9 -n_players_middle 20 -n_players_delta 14 -duration_range_middle 5 -duration_range_delta 4 -plays_in_cardMiddle 29 -plays_in_cardDelta 3 -plays_in_relation1_middle 44 -plays_in_relation1_delta 9 -plays_in_relation2_middle 40 -plays_in_relation2_delta 1","inst-22-1681160445","no instance",22,1681160445,1,22
1,"inst-23-1681160445","model",0,0,7.631,0,0,0.003775,0,0,"no","../wrapper.py 23 1 1681160445 tuning -n_pieces_middle 32 -n_pieces_delta 8 -n_players_middle 30 -n_players_delta 22 -duration_range_middle 10 -duration_range_delta 9 -plays_in_cardMiddle 34 -plays_in_cardDelta 3 -plays_in_relation1_middle 27 -plays_in_relation1_delta 20 -plays_in_relation2_middle 27 -plays_in_relation2_delta 12","f7abcee28bc8a41f3073a7d260591b49","unsat + too easy",23,1681160445,1,23
