feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,runId
1,inst-77-469537174,model,0,0,3.533,0,0,120.519,0,4152071,yes,../wrapper.py 77 1 469537174 tuning -n_pieces_middle 20 -n_pieces_delta 13 -n_players_middle 2 -n_players_delta 0 -duration_range_middle 33 -duration_range_delta 20 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 16 -plays_in_relation1_delta 20 -plays_in_relation2_middle 6 -plays_in_relation2_delta 2,554d12fd74a7419cd513ef0b039e6295,sat + graded,77,469537174,77
1,inst-77-469537174,model,1,0,3.991,0,0,112.81,0,3981418,yes,../wrapper.py 77 1 469537174 tuning -n_pieces_middle 20 -n_pieces_delta 13 -n_players_middle 2 -n_players_delta 0 -duration_range_middle 33 -duration_range_delta 20 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 16 -plays_in_relation1_delta 20 -plays_in_relation2_middle 6 -plays_in_relation2_delta 2,554d12fd74a7419cd513ef0b039e6295,sat + graded,77,469537174,77
1,inst-77-469537174,model,2,0,3.8,0,0,107.146,0,3990145,yes,../wrapper.py 77 1 469537174 tuning -n_pieces_middle 20 -n_pieces_delta 13 -n_players_middle 2 -n_players_delta 0 -duration_range_middle 33 -duration_range_delta 20 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 16 -plays_in_relation1_delta 20 -plays_in_relation2_middle 6 -plays_in_relation2_delta 2,554d12fd74a7419cd513ef0b039e6295,sat + graded,77,469537174,77
1,inst-77-469537174,model,3,0,3.972,0,0,115.98,0,3960504,yes,../wrapper.py 77 1 469537174 tuning -n_pieces_middle 20 -n_pieces_delta 13 -n_players_middle 2 -n_players_delta 0 -duration_range_middle 33 -duration_range_delta 20 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 16 -plays_in_relation1_delta 20 -plays_in_relation2_middle 6 -plays_in_relation2_delta 2,554d12fd74a7419cd513ef0b039e6295,sat + graded,77,469537174,77
1,inst-77-469537174,model,4,0,3.971,0,0,115.319,0,3938444,yes,../wrapper.py 77 1 469537174 tuning -n_pieces_middle 20 -n_pieces_delta 13 -n_players_middle 2 -n_players_delta 0 -duration_range_middle 33 -duration_range_delta 20 -plays_in_cardMiddle 9 -plays_in_cardDelta 0 -plays_in_relation1_middle 16 -plays_in_relation1_delta 20 -plays_in_relation2_middle 6 -plays_in_relation2_delta 2,554d12fd74a7419cd513ef0b039e6295,sat + graded,77,469537174,77
1,inst-92-1109812755,model,0,0,7.431,0,0,111.363,0,1711039,yes,../wrapper.py 92 1 1109812755 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,5b2671cf6d6c2801873ad9901ed6cf28,sat + graded,92,1109812755,92
1,inst-92-1109812755,model,1,0,7.611,0,0,167.426,0,2477449,yes,../wrapper.py 92 1 1109812755 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,5b2671cf6d6c2801873ad9901ed6cf28,sat + graded,92,1109812755,92
1,inst-92-1109812755,model,2,0,7.455,0,0,124.825,0,1962536,yes,../wrapper.py 92 1 1109812755 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,5b2671cf6d6c2801873ad9901ed6cf28,sat + graded,92,1109812755,92
1,inst-92-1109812755,model,3,0,7.018,0,0,63.8277,0,950211,yes,../wrapper.py 92 1 1109812755 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,5b2671cf6d6c2801873ad9901ed6cf28,sat + graded,92,1109812755,92
1,inst-92-1109812755,model,4,0,6.882,0,0,133.715,0,2150341,yes,../wrapper.py 92 1 1109812755 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,5b2671cf6d6c2801873ad9901ed6cf28,sat + graded,92,1109812755,92
1,inst-92-1113633775,model,0,0,5.549,0,0,88.8421,0,2162984,yes,../wrapper.py 92 1 1113633775 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,6fb0ba0fb787570643ea352c9a317f40,sat + graded,92,1113633775,92
1,inst-92-1113633775,model,1,0,5.351,0,0,94.7083,0,2308040,yes,../wrapper.py 92 1 1113633775 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,6fb0ba0fb787570643ea352c9a317f40,sat + graded,92,1113633775,92
1,inst-92-1113633775,model,2,0,5.663,0,0,238.78,0,5983443,yes,../wrapper.py 92 1 1113633775 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,6fb0ba0fb787570643ea352c9a317f40,sat + graded,92,1113633775,92
1,inst-92-1113633775,model,3,0,6.31,0,0,152.117,0,3816312,yes,../wrapper.py 92 1 1113633775 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,6fb0ba0fb787570643ea352c9a317f40,sat + graded,92,1113633775,92
1,inst-92-1113633775,model,4,0,5.058,0,0,80.986,0,1983575,yes,../wrapper.py 92 1 1113633775 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,6fb0ba0fb787570643ea352c9a317f40,sat + graded,92,1113633775,92
1,inst-92-574469501,model,0,0,8.607,0,0,32.3871,0,293292,yes,../wrapper.py 92 1 574469501 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,bc04655e105728fd173cd3f2d840b04b,sat + graded,92,574469501,92
1,inst-92-574469501,model,1,0,9.785,0,0,61.8204,0,596837,yes,../wrapper.py 92 1 574469501 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,bc04655e105728fd173cd3f2d840b04b,sat + graded,92,574469501,92
1,inst-92-574469501,model,2,0,9.299,0,0,100.366,0,1017645,yes,../wrapper.py 92 1 574469501 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,bc04655e105728fd173cd3f2d840b04b,sat + graded,92,574469501,92
1,inst-92-574469501,model,3,0,9.331,0,0,116.003,0,1138258,yes,../wrapper.py 92 1 574469501 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,bc04655e105728fd173cd3f2d840b04b,sat + graded,92,574469501,92
1,inst-92-574469501,model,4,0,9.248,0,0,91.9229,0,831741,yes,../wrapper.py 92 1 574469501 tuning -n_pieces_middle 25 -n_pieces_delta 21 -n_players_middle 6 -n_players_delta 21 -duration_range_middle 30 -duration_range_delta 15 -plays_in_cardMiddle 27 -plays_in_cardDelta 0 -plays_in_relation1_middle 9 -plays_in_relation1_delta 17 -plays_in_relation2_middle 3 -plays_in_relation2_delta 22,bc04655e105728fd173cd3f2d840b04b,sat + graded,92,574469501,92
1,inst-118-577566999,model,0,0,9.557,0,0,242.128,0,1959356,yes,../wrapper.py 118 1 577566999 tuning -n_pieces_middle 36 -n_pieces_delta 21 -n_players_middle 7 -n_players_delta 21 -duration_range_middle 26 -duration_range_delta 16 -plays_in_cardMiddle 35 -plays_in_cardDelta 0 -plays_in_relation1_middle 17 -plays_in_relation1_delta 24 -plays_in_relation2_middle 6 -plays_in_relation2_delta 23,a6b89d9e1506591e87bde2a3a9a47aec,sat + graded,118,577566999,118
1,inst-118-577566999,model,1,0,9.158,0,0,220.713,0,1851333,yes,../wrapper.py 118 1 577566999 tuning -n_pieces_middle 36 -n_pieces_delta 21 -n_players_middle 7 -n_players_delta 21 -duration_range_middle 26 -duration_range_delta 16 -plays_in_cardMiddle 35 -plays_in_cardDelta 0 -plays_in_relation1_middle 17 -plays_in_relation1_delta 24 -plays_in_relation2_middle 6 -plays_in_relation2_delta 23,a6b89d9e1506591e87bde2a3a9a47aec,sat + graded,118,577566999,118
1,inst-118-577566999,model,2,0,9.535,0,0,256.074,0,2160497,yes,../wrapper.py 118 1 577566999 tuning -n_pieces_middle 36 -n_pieces_delta 21 -n_players_middle 7 -n_players_delta 21 -duration_range_middle 26 -duration_range_delta 16 -plays_in_cardMiddle 35 -plays_in_cardDelta 0 -plays_in_relation1_middle 17 -plays_in_relation1_delta 24 -plays_in_relation2_middle 6 -plays_in_relation2_delta 23,a6b89d9e1506591e87bde2a3a9a47aec,sat + graded,118,577566999,118
1,inst-118-577566999,model,3,0,9.601,0,0,236.555,0,2031029,yes,../wrapper.py 118 1 577566999 tuning -n_pieces_middle 36 -n_pieces_delta 21 -n_players_middle 7 -n_players_delta 21 -duration_range_middle 26 -duration_range_delta 16 -plays_in_cardMiddle 35 -plays_in_cardDelta 0 -plays_in_relation1_middle 17 -plays_in_relation1_delta 24 -plays_in_relation2_middle 6 -plays_in_relation2_delta 23,a6b89d9e1506591e87bde2a3a9a47aec,sat + graded,118,577566999,118
