"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
0,"inst-1-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 1 1 123 random -n_pieces_middle 15 -n_pieces_delta 19 -n_players_middle 21 -n_players_delta 22 -duration_range_middle 48 -duration_range_delta 1 -plays_in_cardMiddle 26 -plays_in_cardDelta 3 -plays_in_relation1_middle 28 -plays_in_relation1_delta 11 -plays_in_relation2_middle 48 -plays_in_relation2_delta 11","inst-1-123","no instance",1,123,1
1,"inst-2-123","model",0,0,8.678,0,0,0.00517,0,0,"no","../wrapper.py 2 2 123 random -n_pieces_middle 34 -n_pieces_delta 14 -n_players_middle 6 -n_players_delta 22 -duration_range_middle 13 -duration_range_delta 1 -plays_in_cardMiddle 16 -plays_in_cardDelta 3 -plays_in_relation1_middle 45 -plays_in_relation1_delta 17 -plays_in_relation2_middle 33 -plays_in_relation2_delta 24","cc327521c9a09385d09722f35170a1f5","unsat + too easy",2,123,2
1,"inst-3-123","model",0,0,10.536,0,0,0.007833,0,0,"no","../wrapper.py 3 3 123 random -n_pieces_middle 33 -n_pieces_delta 17 -n_players_middle 28 -n_players_delta 14 -duration_range_middle 15 -duration_range_delta 3 -plays_in_cardMiddle 49 -plays_in_cardDelta 3 -plays_in_relation1_middle 35 -plays_in_relation1_delta 19 -plays_in_relation2_middle 2 -plays_in_relation2_delta 11","ba2337f466e548c1147bbcf2807aa6e7","unsat + too easy",3,123,3
1,"inst-4-123","model",0,0,7.278,0,0,0.003995,0,0,"no","../wrapper.py 4 4 123 random -n_pieces_middle 38 -n_pieces_delta 5 -n_players_middle 16 -n_players_delta 5 -duration_range_middle 8 -duration_range_delta 10 -plays_in_cardMiddle 21 -plays_in_cardDelta 1 -plays_in_relation1_middle 8 -plays_in_relation1_delta 3 -plays_in_relation2_middle 12 -plays_in_relation2_delta 11","a05cfdf3c9f3f65560922dc0d9083c3e","unsat + too easy",4,123,4
0,"inst-5-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 5 5 123 random -n_pieces_middle 14 -n_pieces_delta 21 -n_players_middle 3 -n_players_delta 11 -duration_range_middle 40 -duration_range_delta 3 -plays_in_cardMiddle 28 -plays_in_cardDelta 0 -plays_in_relation1_middle 7 -plays_in_relation1_delta 18 -plays_in_relation2_middle 45 -plays_in_relation2_delta 9","inst-5-123","no instance",5,123,5
0,"inst-6-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 6 123 random -n_pieces_middle 34 -n_pieces_delta 2 -n_players_middle 20 -n_players_delta 6 -duration_range_middle 41 -duration_range_delta 11 -plays_in_cardMiddle 41 -plays_in_cardDelta 3 -plays_in_relation1_middle 40 -plays_in_relation1_delta 10 -plays_in_relation2_middle 38 -plays_in_relation2_delta 15","inst-6-123","no instance",6,123,6
1,"inst-7-123","model",0,0,7.67,0,0,0.001499,0,0,"no","../wrapper.py 7 7 123 random -n_pieces_middle 36 -n_pieces_delta 0 -n_players_middle 24 -n_players_delta 5 -duration_range_middle 19 -duration_range_delta 15 -plays_in_cardMiddle 17 -plays_in_cardDelta 0 -plays_in_relation1_middle 13 -plays_in_relation1_delta 16 -plays_in_relation2_middle 21 -plays_in_relation2_delta 19","465eff2544b30079450e21a1b2f2012e","unsat + too easy",7,123,7
1,"inst-8-123","model",0,0,6.522,0,0,0.002505,0,0,"no","../wrapper.py 8 8 123 random -n_pieces_middle 6 -n_pieces_delta 10 -n_players_middle 50 -n_players_delta 22 -duration_range_middle 45 -duration_range_delta 4 -plays_in_cardMiddle 6 -plays_in_cardDelta 2 -plays_in_relation1_middle 18 -plays_in_relation1_delta 16 -plays_in_relation2_middle 17 -plays_in_relation2_delta 4","075be462910f62bb77faa1f15861f256","unsat + too easy",8,123,8
1,"inst-9-123","model",0,0,7.38,0,0,0.002712,0,0,"no","../wrapper.py 9 9 123 random -n_pieces_middle 40 -n_pieces_delta 2 -n_players_middle 24 -n_players_delta 12 -duration_range_middle 30 -duration_range_delta 8 -plays_in_cardMiddle 24 -plays_in_cardDelta 3 -plays_in_relation1_middle 25 -plays_in_relation1_delta 22 -plays_in_relation2_middle 46 -plays_in_relation2_delta 15","314f169b602ff46268cc8fdd7aa07eed","unsat + too easy",9,123,9
1,"inst-10-123","model",0,0,9.688,0,0,0.00245,0,0,"no","../wrapper.py 10 10 123 random -n_pieces_middle 21 -n_pieces_delta 3 -n_players_middle 47 -n_players_delta 7 -duration_range_middle 4 -duration_range_delta 23 -plays_in_cardMiddle 36 -plays_in_cardDelta 0 -plays_in_relation1_middle 28 -plays_in_relation1_delta 23 -plays_in_relation2_middle 30 -plays_in_relation2_delta 10","84c2a84b1b3db1703f177abc952cb628","unsat + too easy",10,123,10
1,"inst-11-123","model",0,0,7.471,0,0,0.003878,0,0,"no","../wrapper.py 11 11 123 random -n_pieces_middle 33 -n_pieces_delta 7 -n_players_middle 16 -n_players_delta 5 -duration_range_middle 19 -duration_range_delta 24 -plays_in_cardMiddle 7 -plays_in_cardDelta 0 -plays_in_relation1_middle 8 -plays_in_relation1_delta 17 -plays_in_relation2_middle 31 -plays_in_relation2_delta 22","57e5c9177def5a61b1f330fe57279cc0","unsat + too easy",11,123,11
