"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
1,"inst-1-137027669","model",0,0,6.941,0,0,130.806,0,1418451,"yes","../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","6c7f17ea9480cf76898744a57e1a3594","sat + graded",1,137027669,1,1
1,"inst-1-137027669","model",1,0,5.943,0,0,160.431,0,1761250,"yes","../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","6c7f17ea9480cf76898744a57e1a3594","sat + graded",1,137027669,1,1
1,"inst-1-137027669","model",2,0,6.088,0,0,70.1303,0,705590,"yes","../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","6c7f17ea9480cf76898744a57e1a3594","sat + graded",1,137027669,1,1
1,"inst-1-137027669","model",3,0,5.935,0,0,57.971,0,606575,"yes","../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","6c7f17ea9480cf76898744a57e1a3594","sat + graded",1,137027669,1,1
1,"inst-1-137027669","model",4,0,5.969,0,0,69.8152,0,721285,"yes","../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","6c7f17ea9480cf76898744a57e1a3594","sat + graded",1,137027669,1,1
0,"inst-2-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 2 1 137027669 tuning -numNodes_middle 4 -numNodes_delta 19 -numLeaves_middle 21 -numLeaves_delta 24 -numPeriods_middle 15 -numPeriods_delta 21 -maxStock_middle 5 -maxStock_delta 22 -holdingCost_range_middle 24 -holdingCost_range_delta 2 -procCost_range_middle 16 -procCost_range_delta 21 -demand_range_middle 14 -demand_range_delta 15 -children_range_cardMiddle 42 -children_range_cardDelta 0 -children_range_inner_middle 36 -children_range_inner_delta 17","inst-2-137027669","no instance",2,137027669,1,2
0,"inst-3-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 3 1 137027669 tuning -numNodes_middle 24 -numNodes_delta 10 -numLeaves_middle 29 -numLeaves_delta 23 -numPeriods_middle 12 -numPeriods_delta 5 -maxStock_middle 22 -maxStock_delta 8 -holdingCost_range_middle 44 -holdingCost_range_delta 4 -procCost_range_middle 25 -procCost_range_delta 11 -demand_range_middle 28 -demand_range_delta 17 -children_range_cardMiddle 49 -children_range_cardDelta 0 -children_range_inner_middle 13 -children_range_inner_delta 19","inst-3-137027669","no instance",3,137027669,1,3
1,"inst-4-137027669","model",0,0,2.089,0,0,0.005056,0,0,"no","../wrapper.py 4 1 137027669 tuning -numNodes_middle 42 -numNodes_delta 2 -numLeaves_middle 49 -numLeaves_delta 3 -numPeriods_middle 8 -numPeriods_delta 23 -maxStock_middle 26 -maxStock_delta 3 -holdingCost_range_middle 17 -holdingCost_range_delta 17 -procCost_range_middle 15 -procCost_range_delta 9 -demand_range_middle 7 -demand_range_delta 17 -children_range_cardMiddle 9 -children_range_cardDelta 3 -children_range_inner_middle 45 -children_range_inner_delta 23","234f2f0ff4855f18609ad8ebe895e012","unsat + too easy",4,137027669,1,4
0,"inst-5-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 5 1 137027669 tuning -numNodes_middle 37 -numNodes_delta 9 -numLeaves_middle 40 -numLeaves_delta 0 -numPeriods_middle 48 -numPeriods_delta 24 -maxStock_middle 18 -maxStock_delta 18 -holdingCost_range_middle 40 -holdingCost_range_delta 18 -procCost_range_middle 24 -procCost_range_delta 12 -demand_range_middle 15 -demand_range_delta 18 -children_range_cardMiddle 41 -children_range_cardDelta 1 -children_range_inner_middle 26 -children_range_inner_delta 16","inst-5-137027669","no instance",5,137027669,1,5
0,"inst-6-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 1 137027669 tuning -numNodes_middle 8 -numNodes_delta 8 -numLeaves_middle 21 -numLeaves_delta 2 -numPeriods_middle 47 -numPeriods_delta 20 -maxStock_middle 44 -maxStock_delta 23 -holdingCost_range_middle 3 -holdingCost_range_delta 9 -procCost_range_middle 27 -procCost_range_delta 2 -demand_range_middle 40 -demand_range_delta 19 -children_range_cardMiddle 2 -children_range_cardDelta 1 -children_range_inner_middle 47 -children_range_inner_delta 1","inst-6-137027669","no instance",6,137027669,1,6
