feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,runId
1,inst-1-137027669,model,0,0,6.941,0,0,130.806,0,1418451,yes,../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,6c7f17ea9480cf76898744a57e1a3594,sat + graded,1,137027669,1
1,inst-1-137027669,model,1,0,5.943,0,0,160.431,0,1761250,yes,../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,6c7f17ea9480cf76898744a57e1a3594,sat + graded,1,137027669,1
1,inst-1-137027669,model,2,0,6.088,0,0,70.1303,0,705590,yes,../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,6c7f17ea9480cf76898744a57e1a3594,sat + graded,1,137027669,1
1,inst-1-137027669,model,3,0,5.935,0,0,57.971,0,606575,yes,../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,6c7f17ea9480cf76898744a57e1a3594,sat + graded,1,137027669,1
1,inst-1-137027669,model,4,0,5.969,0,0,69.8152,0,721285,yes,../wrapper.py 1 1 137027669 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,6c7f17ea9480cf76898744a57e1a3594,sat + graded,1,137027669,1
1,inst-1-817104398,model,0,0,5.139,0,0,56.3893,0,833173,yes,../wrapper.py 1 1 817104398 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,94d6fc678c31db4c075dd0553fe69643,sat + graded,1,817104398,1
1,inst-1-817104398,model,1,0,4.994,0,0,94.4986,0,1444917,yes,../wrapper.py 1 1 817104398 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,94d6fc678c31db4c075dd0553fe69643,sat + graded,1,817104398,1
1,inst-1-817104398,model,2,0,4.993,0,0,19.5906,0,275834,yes,../wrapper.py 1 1 817104398 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,94d6fc678c31db4c075dd0553fe69643,sat + graded,1,817104398,1
1,inst-1-817104398,model,3,0,5.041,0,0,75.9087,0,1085259,yes,../wrapper.py 1 1 817104398 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,94d6fc678c31db4c075dd0553fe69643,sat + graded,1,817104398,1
1,inst-1-817104398,model,4,0,5.956,0,0,76.5198,0,1105236,yes,../wrapper.py 1 1 817104398 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12,94d6fc678c31db4c075dd0553fe69643,sat + graded,1,817104398,1
1,inst-28-1591454280,model,0,0,5.887,0,0,57.059,0,584572,yes,../wrapper.py 28 1 1591454280 tuning -numNodes_middle 38 -numNodes_delta 21 -numLeaves_middle 12 -numLeaves_delta 7 -numPeriods_middle 21 -numPeriods_delta 23 -maxStock_middle 47 -maxStock_delta 11 -holdingCost_range_middle 2 -holdingCost_range_delta 18 -procCost_range_middle 11 -procCost_range_delta 6 -demand_range_middle 1 -demand_range_delta 17 -children_range_cardMiddle 3 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 10,579829a782f18579a3701729396ad76c,sat + graded,28,1591454280,28
