"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
1,"inst-1-123","model",0,0,10.961,0,0,0.031627,0,0,"no","../wrapper.py 1 1 123 random -numNodes_middle 15 -numNodes_delta 19 -numLeaves_middle 21 -numLeaves_delta 22 -numPeriods_middle 48 -numPeriods_delta 1 -maxStock_middle 27 -maxStock_delta 22 -holdingCost_range_middle 28 -holdingCost_range_delta 11 -procCost_range_middle 48 -procCost_range_delta 11 -demand_range_middle 34 -demand_range_delta 14 -children_range_cardMiddle 5 -children_range_cardDelta 3 -children_range_inner_middle 13 -children_range_inner_delta 1","db0df052c74ed39b893213ce3de11927","unsat + too easy",1,123,1
0,"inst-2-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 2 2 123 random -numNodes_middle 17 -numNodes_delta 23 -numLeaves_middle 45 -numLeaves_delta 17 -numPeriods_middle 33 -numPeriods_delta 24 -maxStock_middle 33 -maxStock_delta 17 -holdingCost_range_middle 27 -holdingCost_range_delta 15 -procCost_range_middle 14 -procCost_range_delta 3 -demand_range_middle 49 -demand_range_delta 23 -children_range_cardMiddle 35 -children_range_cardDelta 3 -children_range_inner_middle 2 -children_range_inner_delta 11","inst-2-123","no instance",2,123,2
1,"inst-3-123","model",0,0,3.68,0,0,0.008605,0,0,"no","../wrapper.py 3 3 123 random -numNodes_middle 38 -numNodes_delta 5 -numLeaves_middle 16 -numLeaves_delta 5 -numPeriods_middle 8 -numPeriods_delta 10 -maxStock_middle 21 -maxStock_delta 9 -holdingCost_range_middle 7 -holdingCost_range_delta 3 -procCost_range_middle 11 -procCost_range_delta 12 -demand_range_middle 13 -demand_range_delta 22 -children_range_cardMiddle 2 -children_range_cardDelta 1 -children_range_inner_middle 40 -children_range_inner_delta 3","2d137eed621448d8817bf7ad1d5f77c0","unsat + too easy",3,123,3
0,"inst-4-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 4 4 123 random -numNodes_middle 29 -numNodes_delta 5 -numLeaves_middle 7 -numLeaves_delta 18 -numPeriods_middle 45 -numPeriods_delta 9 -maxStock_middle 34 -maxStock_delta 2 -holdingCost_range_middle 19 -holdingCost_range_delta 7 -procCost_range_middle 41 -procCost_range_delta 11 -demand_range_middle 41 -demand_range_delta 21 -children_range_cardMiddle 40 -children_range_cardDelta 1 -children_range_inner_middle 38 -children_range_inner_delta 15","inst-4-123","no instance",4,123,4
0,"inst-5-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 5 5 123 random -numNodes_middle 36 -numNodes_delta 0 -numLeaves_middle 24 -numLeaves_delta 5 -numPeriods_middle 19 -numPeriods_delta 15 -maxStock_middle 18 -maxStock_delta 2 -holdingCost_range_middle 12 -holdingCost_range_delta 17 -procCost_range_middle 21 -procCost_range_delta 20 -demand_range_middle 5 -demand_range_delta 11 -children_range_cardMiddle 50 -children_range_cardDelta 3 -children_range_inner_middle 45 -children_range_inner_delta 4","inst-5-123","no instance",5,123,5
0,"inst-6-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 6 123 random -numNodes_middle 7 -numNodes_delta 16 -numLeaves_middle 18 -numLeaves_delta 16 -numPeriods_middle 17 -numPeriods_delta 4 -maxStock_middle 40 -maxStock_delta 2 -holdingCost_range_middle 23 -holdingCost_range_delta 13 -procCost_range_middle 30 -procCost_range_delta 8 -demand_range_middle 24 -demand_range_delta 24 -children_range_cardMiddle 24 -children_range_cardDelta 3 -children_range_inner_middle 46 -children_range_inner_delta 15","inst-6-123","no instance",6,123,6
1,"inst-7-123","model",0,0,1.75,0,0,0.005665,0,0,"no","../wrapper.py 7 7 123 random -numNodes_middle 21 -numNodes_delta 3 -numLeaves_middle 47 -numLeaves_delta 7 -numPeriods_middle 4 -numPeriods_delta 23 -maxStock_middle 37 -maxStock_delta 3 -holdingCost_range_middle 28 -holdingCost_range_delta 24 -procCost_range_middle 29 -procCost_range_delta 10 -demand_range_middle 33 -demand_range_delta 8 -children_range_cardMiddle 15 -children_range_cardDelta 0 -children_range_inner_middle 19 -children_range_inner_delta 24","f206d64b659dbdee29505d663839bfd5","unsat + too easy",7,123,7
0,"inst-8-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 8 123 random -numNodes_middle 8 -numNodes_delta 2 -numLeaves_middle 8 -numLeaves_delta 17 -numPeriods_middle 31 -numPeriods_delta 22 -maxStock_middle 34 -maxStock_delta 18 -holdingCost_range_middle 26 -holdingCost_range_delta 17 -procCost_range_middle 41 -procCost_range_delta 20 -demand_range_middle 49 -demand_range_delta 11 -children_range_cardMiddle 15 -children_range_cardDelta 1 -children_range_inner_middle 1 -children_range_inner_delta 4","inst-8-123","no instance",8,123,8
0,"inst-9-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 9 9 123 random -numNodes_middle 43 -numNodes_delta 5 -numLeaves_middle 12 -numLeaves_delta 1 -numPeriods_middle 13 -numPeriods_delta 18 -maxStock_middle 43 -maxStock_delta 12 -holdingCost_range_middle 19 -holdingCost_range_delta 6 -procCost_range_middle 5 -procCost_range_delta 10 -demand_range_middle 29 -demand_range_delta 5 -children_range_cardMiddle 22 -children_range_cardDelta 0 -children_range_inner_middle 26 -children_range_inner_delta 8","inst-9-123","no instance",9,123,9
0,"inst-10-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 10 10 123 random -numNodes_middle 33 -numNodes_delta 9 -numLeaves_middle 18 -numLeaves_delta 13 -numPeriods_middle 38 -numPeriods_delta 5 -maxStock_middle 21 -maxStock_delta 6 -holdingCost_range_middle 32 -holdingCost_range_delta 4 -procCost_range_middle 44 -procCost_range_delta 19 -demand_range_middle 34 -demand_range_delta 16 -children_range_cardMiddle 18 -children_range_cardDelta 2 -children_range_inner_middle 44 -children_range_inner_delta 14","inst-10-123","no instance",10,123,10
