"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
0,"inst-1-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 1 1 1681160445 tuning -nnodes_middle 8 -nnodes_delta 16 -nrings_middle 10 -nrings_delta 23 -capacity_middle 45 -capacity_delta 23 -demand_cardMiddle 36 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 1 -demand_inner_inner_delta 23","inst-1-1681160445","no instance",1,1681160445,1,1
0,"inst-2-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 2 1 1681160445 tuning -nnodes_middle 50 -nnodes_delta 8 -nrings_middle 38 -nrings_delta 19 -capacity_middle 36 -capacity_delta 11 -demand_cardMiddle 25 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 42 -demand_inner_inner_delta 10","inst-2-1681160445","no instance",2,1681160445,1,2
0,"inst-3-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 3 1 1681160445 tuning -nnodes_middle 26 -nnodes_delta 16 -nrings_middle 8 -nrings_delta 8 -capacity_middle 21 -capacity_delta 2 -demand_cardMiddle 47 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 47 -demand_inner_inner_delta 1","inst-3-1681160445","no instance",3,1681160445,1,3
0,"inst-4-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 4 1 1681160445 tuning -nnodes_middle 19 -nnodes_delta 13 -nrings_middle 6 -nrings_delta 20 -capacity_middle 37 -capacity_delta 1 -demand_cardMiddle 24 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 15 -demand_inner_inner_delta 12","inst-4-1681160445","no instance",4,1681160445,1,4
1,"inst-5-1681160445","model",0,0,7.758,0,1,NA,NA,NA,NA,"../wrapper.py 5 1 1681160445 tuning -nnodes_middle 31 -nnodes_delta 6 -nrings_middle 22 -nrings_delta 9 -capacity_middle 48 -capacity_delta 3 -demand_cardMiddle 3 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 19 -demand_inner_inner_delta 3","6dcecf2080a8437c778bbc457ae736d7","solver timeout",5,1681160445,1,5
0,"inst-6-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 1 1681160445 tuning -nnodes_middle 3 -nnodes_delta 16 -nrings_middle 29 -nrings_delta 24 -capacity_middle 31 -capacity_delta 1 -demand_cardMiddle 8 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 23 -demand_inner_inner_delta 6","inst-6-1681160445","no instance",6,1681160445,1,6
0,"inst-7-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 7 1 1681160445 tuning -nnodes_middle 47 -nnodes_delta 17 -nrings_middle 9 -nrings_delta 11 -capacity_middle 35 -capacity_delta 11 -demand_cardMiddle 48 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 6 -demand_inner_inner_delta 6","inst-7-1681160445","no instance",7,1681160445,1,7
0,"inst-8-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 1 1681160445 tuning -nnodes_middle 44 -nnodes_delta 10 -nrings_middle 25 -nrings_delta 17 -capacity_middle 39 -capacity_delta 3 -demand_cardMiddle 43 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 26 -demand_inner_inner_delta 4","inst-8-1681160445","no instance",8,1681160445,1,8
1,"inst-9-1681160445","model",0,0,3.625,0,1,NA,NA,NA,NA,"../wrapper.py 9 1 1681160445 tuning -nnodes_middle 1 -nnodes_delta 21 -nrings_middle 7 -nrings_delta 0 -capacity_middle 47 -capacity_delta 7 -demand_cardMiddle 8 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 22 -demand_inner_inner_delta 12","d2cfbde4a8f4a85c6ea80731cc355ec2","solver timeout",9,1681160445,1,9
0,"inst-10-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 10 1 1681160445 tuning -nnodes_middle 43 -nnodes_delta 1 -nrings_middle 28 -nrings_delta 17 -capacity_middle 33 -capacity_delta 16 -demand_cardMiddle 24 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 43 -demand_inner_inner_delta 18","inst-10-1681160445","no instance",10,1681160445,1,10
