"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
1,"inst-1-123","model",0,0,3.031,0,1,NA,NA,NA,NA,"../wrapper.py 1 1 123 random -nnodes_middle 15 -nnodes_delta 19 -nrings_middle 21 -nrings_delta 22 -capacity_middle 48 -capacity_delta 1 -demand_cardMiddle 26 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 23 -demand_inner_inner_delta 23","c13c2821d6ce5828671870897769f8a9","solver timeout",1,123,1
1,"inst-2-123","model",0,0,11.42,0,1,NA,NA,NA,NA,"../wrapper.py 2 2 123 random -nnodes_middle 23 -nnodes_delta 16 -nrings_middle 29 -nrings_delta 2 -capacity_middle 45 -capacity_delta 6 -demand_cardMiddle 2 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 45 -demand_inner_inner_delta 17","75588d0be726dee9e7af9c84664b4c66","solver timeout",2,123,2
1,"inst-3-123","model",0,0,14.154,0,1,NA,NA,NA,NA,"../wrapper.py 3 3 123 random -nnodes_middle 33 -nnodes_delta 24 -nrings_middle 33 -nrings_delta 17 -capacity_middle 28 -capacity_delta 14 -demand_cardMiddle 14 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 46 -demand_inner_inner_delta 17","0eab956cf9a8a7df3995274be2e3091b","solver timeout",3,123,3
1,"inst-4-123","model",0,0,11.437,0,1,NA,NA,NA,NA,"../wrapper.py 4 4 123 random -nnodes_middle 40 -nnodes_delta 0 -nrings_middle 24 -nrings_delta 18 -capacity_middle 11 -capacity_delta 7 -demand_cardMiddle 11 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 21 -demand_inner_inner_delta 9","4c48a55f992d4d15b456f13003d15898","solver timeout",4,123,4
1,"inst-5-123","model",0,0,4.458,0,1,NA,NA,NA,NA,"../wrapper.py 5 5 123 random -nnodes_middle 8 -nnodes_delta 3 -nrings_middle 12 -nrings_delta 11 -capacity_middle 14 -capacity_delta 21 -demand_cardMiddle 2 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 7 -demand_inner_inner_delta 14","bfb2295bb200a45732d207f43d3050b8","solver timeout",5,123,5
0,"inst-6-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 6 123 random -nnodes_middle 11 -nnodes_delta 3 -nrings_middle 38 -nrings_delta 22 -capacity_middle 19 -capacity_delta 16 -demand_cardMiddle 4 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 41 -demand_inner_inner_delta 11","inst-6-123","no instance",6,123,6
0,"inst-7-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 7 7 123 random -nnodes_middle 41 -nnodes_delta 20 -nrings_middle 40 -nrings_delta 10 -capacity_middle 38 -capacity_delta 15 -demand_cardMiddle 36 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 12 -demand_inner_inner_delta 9","inst-7-123","no instance",7,123,7
0,"inst-8-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 8 123 random -nnodes_middle 31 -nnodes_delta 8 -nrings_middle 6 -nrings_delta 6 -capacity_middle 34 -capacity_delta 10 -demand_cardMiddle 40 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 50 -demand_inner_inner_delta 22","inst-8-123","no instance",8,123,8
1,"inst-9-123","model",0,0,11.099,0,1,NA,NA,NA,NA,"../wrapper.py 9 9 123 random -nnodes_middle 45 -nnodes_delta 4 -nrings_middle 7 -nrings_delta 16 -capacity_middle 18 -capacity_delta 16 -demand_cardMiddle 16 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 5 -demand_inner_inner_delta 11","791194cb434805fabd9131069c1eca18","solver timeout",9,123,9
0,"inst-10-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 10 10 123 random -nnodes_middle 26 -nnodes_delta 14 -nrings_middle 17 -nrings_delta 12 -capacity_middle 48 -capacity_delta 12 -demand_cardMiddle 45 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 21 -demand_inner_inner_delta 3","inst-10-123","no instance",10,123,10
0,"inst-11-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 11 11 123 random -nnodes_middle 47 -nnodes_delta 7 -nrings_middle 4 -nrings_delta 23 -capacity_middle 37 -capacity_delta 3 -demand_cardMiddle 28 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 21 -demand_inner_inner_delta 16","inst-11-123","no instance",11,123,11
1,"inst-12-123","model",0,0,5.17,0,1,NA,NA,NA,NA,"../wrapper.py 12 12 123 random -nnodes_middle 16 -nnodes_delta 7 -nrings_middle 11 -nrings_delta 9 -capacity_middle 50 -capacity_delta 3 -demand_cardMiddle 4 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 31 -demand_inner_inner_delta 22","f958d3edaea382f63e692a47d90aa742","solver timeout",12,123,12
