feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId
1,inst-4-1010774377,model,0,0,5.12,0,0,35.2366,0,1444682,yes,../wrapper.py 4 1 1010774377 tuning -k_middle 28 -k_delta 8 -l_middle 32 -l_delta 20 -n_middle 36 -n_delta 8,ad03515e103a333376d8c3608574a59d,sat + graded,4,1010774377,1,4
1,inst-4-1010774377,model,1,0,4.115,0,0,1.30266,0,41673,yes,../wrapper.py 4 1 1010774377 tuning -k_middle 28 -k_delta 8 -l_middle 32 -l_delta 20 -n_middle 36 -n_delta 8,ad03515e103a333376d8c3608574a59d,sat + too easy,4,1010774377,1,4
1,inst-9-233659786,model,0,0,5.11,0,0,41.8389,0,1661627,yes,../wrapper.py 9 1 233659786 tuning -k_middle 19 -k_delta 14 -l_middle 37 -l_delta 21 -n_middle 29 -n_delta 0,d49b2e9860ee51ba965852e1c8588e33,sat + graded,9,233659786,1,9
1,inst-9-233659786,model,1,0,5.333,0,0,88.8728,0,3657840,yes,../wrapper.py 9 1 233659786 tuning -k_middle 19 -k_delta 14 -l_middle 37 -l_delta 21 -n_middle 29 -n_delta 0,d49b2e9860ee51ba965852e1c8588e33,sat + graded,9,233659786,1,9
1,inst-9-233659786,model,2,0,5.005,0,0,0.618042,0,22030,yes,../wrapper.py 9 1 233659786 tuning -k_middle 19 -k_delta 14 -l_middle 37 -l_delta 21 -n_middle 29 -n_delta 0,d49b2e9860ee51ba965852e1c8588e33,sat + too easy,9,233659786,1,9
1,inst-12-1010774377,model,0,0,8.585,0,0,25.4582,0,440794,yes,../wrapper.py 12 1 1010774377 tuning -k_middle 35 -k_delta 6 -l_middle 33 -l_delta 7 -n_middle 48 -n_delta 3,c93459cd2930215f5cd5a6e8e09abfc2,sat + graded,12,1010774377,1,12
1,inst-12-1010774377,model,1,0,6.375,0,1,NA,NA,NA,NA,../wrapper.py 12 1 1010774377 tuning -k_middle 35 -k_delta 6 -l_middle 33 -l_delta 7 -n_middle 48 -n_delta 3,c93459cd2930215f5cd5a6e8e09abfc2,solver timeout,12,1010774377,1,12
1,inst-25-233659786,model,0,0,6.877,0,0,19.1327,0,867697,yes,../wrapper.py 25 1 233659786 tuning -k_middle 11 -k_delta 19 -l_middle 12 -l_delta 0 -n_middle 44 -n_delta 17,ab197d227ab508ed7bb2605b07d7762c,sat + graded,25,233659786,1,25
1,inst-25-233659786,model,1,0,5.055,0,0,17.4327,0,722360,yes,../wrapper.py 25 1 233659786 tuning -k_middle 11 -k_delta 19 -l_middle 12 -l_delta 0 -n_middle 44 -n_delta 17,ab197d227ab508ed7bb2605b07d7762c,sat + graded,25,233659786,1,25
1,inst-25-233659786,model,2,0,4.406,0,0,136.825,0,5891753,yes,../wrapper.py 25 1 233659786 tuning -k_middle 11 -k_delta 19 -l_middle 12 -l_delta 0 -n_middle 44 -n_delta 17,ab197d227ab508ed7bb2605b07d7762c,sat + graded,25,233659786,1,25
