feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-109-123,model,0,0,4.59,0,0,10.8829,0,259472,yes,../wrapper.py 109 109 123 random -k_middle 16 -k_delta 15 -l_middle 38 -l_delta 22 -n_middle 24 -n_delta 14,809c61f0fc4b71c30da822c2b9f2d41c
1,inst-119-123,model,0,0,5.257,0,0,164.98,0,5489288,yes,../wrapper.py 119 119 123 random -k_middle 10 -k_delta 10 -l_middle 32 -l_delta 13 -n_middle 33 -n_delta 18,2bb57e24c894e544147a1b7a7baec05e
1,inst-125-123,model,0,0,4.308,0,0,12.0082,0,327590,yes,../wrapper.py 125 125 123 random -k_middle 17 -k_delta 13 -l_middle 40 -l_delta 1 -n_middle 35 -n_delta 23,2a97750fc2adb7e355d61b90bb8ff8c7
1,inst-154-123,model,0,0,4.525,0,0,115.861,0,3431040,yes,../wrapper.py 154 154 123 random -k_middle 20 -k_delta 7 -l_middle 41 -l_delta 1 -n_middle 19 -n_delta 21,d8f0aa263db29e10a7d5c302499e237b
1,inst-16-123,model,0,0,3.807,0,0,11.3909,0,660288,yes,../wrapper.py 16 16 123 random -k_middle 7 -k_delta 16 -l_middle 18 -l_delta 16 -n_middle 17 -n_delta 4,06a58a9c2ce04cb6e66eabd3fca9ec01
1,inst-181-123,model,0,0,6.898,0,0,88.5073,0,1187350,yes,../wrapper.py 181 181 123 random -k_middle 20 -k_delta 4 -l_middle 16 -l_delta 10 -n_middle 38 -n_delta 6,7e9a4a4c6253fef6ec02bfa3d38df152
1,inst-210-123,model,0,0,10.169,0,0,24.4782,0,120499,yes,../wrapper.py 210 210 123 random -k_middle 8 -k_delta 21 -l_middle 5 -l_delta 6 -n_middle 50 -n_delta 14,1d25509d71c2dfa78862275b7cb1ff4c
1,inst-231-123,model,0,0,6.844,0,0,163.751,0,2482069,yes,../wrapper.py 231 231 123 random -k_middle 24 -k_delta 8 -l_middle 45 -l_delta 1 -n_middle 45 -n_delta 4,0eb21247da7ff4408439ba08bc322984
1,inst-232-123,model,0,0,11.898,0,0,231.384,0,1088549,yes,../wrapper.py 232 232 123 random -k_middle 11 -k_delta 21 -l_middle 4 -l_delta 5 -n_middle 50 -n_delta 16,d74c986f92a3d13b03e1c3d9bbd85f73
1,inst-268-123,model,0,0,6.418,0,0,21.3578,0,357825,yes,../wrapper.py 268 268 123 random -k_middle 13 -k_delta 20 -l_middle 41 -l_delta 1 -n_middle 44 -n_delta 3,2b4f0086c064d8015958f978d40f9bda
1,inst-327-123,model,0,0,8.531,0,0,19.5202,0,233759,yes,../wrapper.py 327 327 123 random -k_middle 19 -k_delta 19 -l_middle 28 -l_delta 3 -n_middle 50 -n_delta 6,a7fca63bd5b9dd6ae518cf08225db953
